sample_name	shotgun_woltka_reads
12201.stool.human.A.1.nucleomag.H	2598814.0
12201.food.kimchi.2.3.nucleomag.H	2554253.0
12201.food.yogurt.1.2.powersoil.H	2544042.0
12201.stool.human.B.2.zymoMA.H	2529947.0
12201.food.kimchi.2.3.powersoil.H	2525953.0
12201.food.yogurt.1.3.powersoil.H	2506525.0
12201.stool.cat.M.1.nucleomag.H	2469246.0
12201.stool.human.A.3.nucleomag.H	2467428.0
12201.food.kimchi.2.1.zymoMA.H	2458661.0
12201.skin.armpit.C.2.nucleomag.L	2411954.0
12201.food.kimchi.1.1.powersoil.H	2408583.0
12201.stool.cat.L.2.powersoil.H	2385062.0
12201.stool.human.A.2.zymoMA.H	2371242.0
12201.stool.human.J.3.2.powersoil.H	2368748.0
12201.stool.cat.L.1.powersoil.H	2355759.0
12201.stool.human.J.1.3.zymoMA.H	2354070.0
12201.food.kimchi.1.1.zymoMA.H	2216434.0
12201.mock.community.d4.1.microbiome.L	2191346.0
12201.food.kimchi.1.1.microbiome.H	2155796.0
12201.BLANK.C4.nucleomag.H	2133324.0
12201.mock.community.d3.powersoil.H	2079668.0
12201.urine.female.F.3.nucleomag.L	2053635.0
12201.stool.cat.M.3.zymoMA.H	2053568.0
12201.stool.cat.L.3.zymoMA.H	2052357.0
12201.food.kimchi.2.2.nucleomag.H	2043791.0
12201.stool.human.J.3.1.powersoil.H	2032487.0
12201.mock.community.d2.powersoil.H	2012515.0
12201.food.kimchi.1.3.powersoil.H	1990496.0
12201.food.yogurt.2.3.magmax.H	1950804.0
12201.stool.cat.M.1.powersoil.H	1945312.0
12201.stool.human.J.2.1.zymoMA.H	1928765.0
12201.stool.human.J.1.2.nucleomag.H	1881758.0
12201.food.kimchi.2.1.powersoil.H	1878978.0
12201.food.yogurt.2.1.powersoil.H	1873134.0
12201.stool.human.A.3.powersoil.H	1870707.0
12201.stool.cat.L.1.nucleomag.H	1845502.0
12201.stool.cat.L.1.zymoMA.H	1824007.0
12201.stool.mouse.M.2.nucleomag.H	1775964.0
12201.food.yogurt.2.1.nucleomag.H	1774937.0
12201.food.kimchi.2.1.nucleomag.H	1764955.0
12201.stool.human.A.2.nucleomag.H	1756302.0
12201.stool.human.B.3.powersoil.H	1756294.0
12201.food.yogurt.1.2.magmax.H	1745743.0
12201.stool.human.J.2.1.nucleomag.H	1720322.0
12201.stool.human.J.1.3.powersoil.H	1712601.0
12201.oral.human.A.3.nucleomag.H	1710731.0
12201.stool.human.H.3.pro.H	1700630.0
12201.food.yogurt.2.1.magmax.H	1695723.0
12201.oral.human.K.2.powersoil.H	1689159.0
12201.food.kimchi.2.2.microbiome.H	1657332.0
12201.stool.human.J.3.3.powersoil.H	1619203.0
12201.stool.cat.M.1.zymoMA.H	1611782.0
12201.stool.human.A.2.powersoil.H	1548638.0
12201.stool.cat.L.3.nucleomag.H	1533674.0
12201.stool.cat.M.2.zymoMA.H	1530544.0
12201.mock.community.d3.2.microbiome.L	1505922.0
12201.food.yogurt.1.3.nucleomag.H	1492168.0
12201.tissue.mouse.R.1.microbiome.H	1467937.0
12201.stool.mouse.M.3.nucleomag.H	1457901.0
12201.food.yogurt.2.1.homebrew.H	1456574.0
12201.food.yogurt.1.3.magmax.H	1454899.0
12201.tissue.mouse.R.1.zymoMA.H	1444695.0
12201.tissue.mouse.Q.1.microbiome.H	1436517.0
12201.mock.community.d3.3.zymoMA.L	1430998.0
12201.food.yogurt.1.3.pro.H	1429272.0
12201.stool.human.J.1.2.powersoil.H	1366413.0
12201.food.yogurt.2.3.pro.H	1365312.0
12201.stool.cat.M.3.powersoil.H	1358614.0
12201.stool.mouse.M.3.powersoil.H	1356309.0
12201.tissue.mouse.Q.2.nucleomag.H	1353639.0
12201.stool.human.J.2.3.powersoil.H	1341998.0
12201.food.kimchi.1.2.magmax.H	1333203.0
12201.food.yogurt.1.1.magmax.H	1308553.0
12201.tissue.mouse.R.2.zymoMA.H	1274715.0
12201.oral.human.A.2.nucleomag.H	1265278.0
12201.stool.human.J.2.2.powersoil.H	1254702.0
12201.stool.human.H.1.pro.H	1224181.0
12201.tissue.mouse.Q.3.microbiome.H	1212330.0
12201.stool.mouse.L.2.nucleomag.H	1207599.0
12201.oral.human.B.2.powersoil.H	1201066.0
12201.stool.human.B.3.pro.H	1199801.0
12201.food.yogurt.2.2.homebrew.H	1198522.0
12201.stool.cat.N.2.zymoMA.H	1196440.0
12201.stool.human.A.1.norgen.H	1189435.0
12201.stool.human.I.3.norgen.H	1160205.0
12201.stool.cat.L.3.powersoil.H	1151073.0
12201.tissue.mouse.R.3.zymoMA.H	1143158.0
12201.mc.d2.1.magmax.L	1138022.0
12201.food.kimchi.2.3.microbiome.H	1137359.0
12201.built.keyboard.A.1.3.microbiome.L	1129614.0
12201.food.kimchi.1.3.magmax.H	1129429.0
12201.food.kimchi.2.1.microbiome.H	1105973.0
12201.stool.human.B.3.norgen.H	1102041.0
12201.stool.cat.L.3.magmax.H	1099839.0
12201.oral.human.A.1.zymoMA.H	1096735.0
12201.stool.human.B.2.norgen.H	1089387.0
12201.oral.human.N.1.nucleomag.H	1084628.0
12201.stool.human.G.3.norgen.H	1065448.0
12201.stool.mouse.L.1.zymoMA.H	1061142.0
12201.food.yogurt.2.2.magmax.H	1054840.0
12201.stool.human.A.1.homebrew.H	1052527.0
12201.oral.human.A.1.nucleomag.H	1051976.0
12201.stool.human.H.2.norgen.H	1047944.0
12201.oral.human.A.1.microbiome.H	1045843.0
12201.stool.human.B.1.norgen.H	1036577.0
