PowerSoil Pro	PowerSoil r1
134.0	1269.0
161.0	1141.0
358.0	296.0
4261.0	0.0
4.0	0.0
0.0	0.0
17.0	21.0
2.0	0.0
0.0	0.0
0.0	0.0
14.0	0.0
156.0	0.0
7.0	0.0
0.0	0.0
29.0	0.0
0.0	1676.0
0.0	1458.0
0.0	8.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	4.0
5.0	9.0
2.0	0.0
845.0	0.0
644.0	789.0
528.0	603.0
392.0	707.0
1411.0	1531.0
2200.0	905.0
176.0	104.0
136.0	94.0
0.0	0.0
27.0	367.0
859.0	588.0
12.0	142.0
536.0	0.0
7.0	14.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
10.0	0.0
25.0	0.0
0.0	0.0
0.0	0.0
0.0	2.0
0.0	671.0
0.0	921.0
0.0	4.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	8.0
6.0	3.0
0.0	0.0
366.0	0.0
555.0	197.0
462.0	856.0
588.0	1027.0
2181.0	809.0
1180.0	1617.0
3.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	17.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
3.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
2.0	392.0
1115.0	396.0
54.0	138.0
981.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
3.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	3.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	2.0
0.0	2.0
0.0	2.0
2.0	0.0
0.0	0.0
0.0	2.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	2.0
0.0	0.0
21.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
2.0	0.0
14.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	51.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
