sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.s.la.C.2.pro.L	12201.s.la.C.3.pro.L	0.5860686434837684	human.armpit.C	PowerSoil Pro	human.armpit.C	PowerSoil Pro	skin	human armpit	low
12201.s.la.C.1.norgen.L	12201.s.la.C.3.norgen.L	0.6075612383569442	human.armpit.C	Norgen	human.armpit.C	Norgen	skin	human armpit	low
12201.s.la.C.2.standard.L	12201.s.la.C.3.standard.L	0.5925088448191683	human.armpit.C	PowerSoil r1	human.armpit.C	PowerSoil r1	skin	human armpit	low
12201.s.lf.A.1.norgen.L	12201.s.lf.A.2.norgen.L	0.2754538026896331	human.foot.A	Norgen	human.foot.A	Norgen	skin	human foot	low
12201.s.lf.A.1.norgen.L	12201.s.lf.A.3.norgen.L	1.4813819000391117	human.foot.A	Norgen	human.foot.A	Norgen	skin	human foot	low
12201.s.lf.A.1.standard.L	12201.s.lf.A.2.standard.L	0.8930729068093041	human.foot.A	PowerSoil r1	human.foot.A	PowerSoil r1	skin	human foot	low
12201.s.lf.A.1.standard.L	12201.s.lf.A.3.standard.L	1.7818354445130473	human.foot.A	PowerSoil r1	human.foot.A	PowerSoil r1	skin	human foot	low
12201.s.lf.A.2.norgen.L	12201.s.lf.A.3.norgen.L	1.3482187129149577	human.foot.A	Norgen	human.foot.A	Norgen	skin	human foot	low
12201.s.lf.A.1.pro.L	12201.s.lf.A.3.pro.L	2.2483257102510716	human.foot.A	PowerSoil Pro	human.foot.A	PowerSoil Pro	skin	human foot	low
12201.s.lf.A.1.pro.L	12201.s.lf.A.2.pro.L	0.7610610098346263	human.foot.A	PowerSoil Pro	human.foot.A	PowerSoil Pro	skin	human foot	low
12201.s.lf.A.2.standard.L	12201.s.lf.A.3.standard.L	1.4273087785615435	human.foot.A	PowerSoil r1	human.foot.A	PowerSoil r1	skin	human foot	low
12201.s.lf.A.3.pro.L	12201.s.lf.A.2.pro.L	1.5108495935117965	human.foot.A	PowerSoil Pro	human.foot.A	PowerSoil Pro	skin	human foot	low
12201.s.lf.B.1.norgen.L	12201.s.lf.B.3.norgen.L	0.36358360390709793	human.foot.B	Norgen	human.foot.B	Norgen	skin	human foot	low
12201.s.lf.B.1.norgen.L	12201.s.lf.B.2.norgen.L	0.24011606162642932	human.foot.B	Norgen	human.foot.B	Norgen	skin	human foot	low
12201.s.lf.B.2.standard.L	12201.s.lf.B.3.standard.L	0.2727855982641045	human.foot.B	PowerSoil r1	human.foot.B	PowerSoil r1	skin	human foot	low
12201.s.lf.B.2.standard.L	12201.s.lf.B.1.standard.L	0.3910938362583084	human.foot.B	PowerSoil r1	human.foot.B	PowerSoil r1	skin	human foot	low
12201.s.lf.B.3.norgen.L	12201.s.lf.B.2.norgen.L	0.37479724332470543	human.foot.B	Norgen	human.foot.B	Norgen	skin	human foot	low
12201.s.lf.B.3.standard.L	12201.s.lf.B.1.standard.L	0.2728082316705349	human.foot.B	PowerSoil r1	human.foot.B	PowerSoil r1	skin	human foot	low
12201.s.lf.C.1.norgen.L	12201.s.lf.C.2.norgen.L	0.2169398833504082	human.foot.C	Norgen	human.foot.C	Norgen	skin	human foot	low
12201.s.lf.C.1.norgen.L	12201.s.lf.C.3.norgen.L	0.4966556819728538	human.foot.C	Norgen	human.foot.C	Norgen	skin	human foot	low
12201.s.lf.C.1.pro.L	12201.s.lf.C.2.pro.L	0.38921825977759156	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.1.pro.L	12201.s.lf.C.3.pro.L	0.3419078271953526	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.1.standard.L	12201.s.lf.C.2.standard.L	0.12032588641993756	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.s.lf.C.1.standard.L	12201.s.lf.C.3.standard.L	0.23894816906422256	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.s.lf.C.2.norgen.L	12201.s.lf.C.3.norgen.L	0.5213227321520172	human.foot.C	Norgen	human.foot.C	Norgen	skin	human foot	low
12201.s.lf.C.2.pro.L	12201.s.lf.C.3.pro.L	0.18608297546485153	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.2.standard.L	12201.s.lf.C.3.standard.L	0.30726036273152113	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.uriF.D.1.pro.L	12201.uriF.D.2.pro.L	0.2966882988087486	human.urine.D	PowerSoil Pro	human.urine.D	PowerSoil Pro	urine	human female urine	low
12201.uriF.D.1.pro.L	12201.uriF.D.3.pro.L	0.20359061397713268	human.urine.D	PowerSoil Pro	human.urine.D	PowerSoil Pro	urine	human female urine	low
12201.uriF.D.1.standard.L	12201.uriF.D.2.standard.L	0.7322131365169982	human.urine.D	PowerSoil r1	human.urine.D	PowerSoil r1	urine	human female urine	low
12201.uriF.D.1.standard.L	12201.uriF.D.3.standard.L	0.8621261783771237	human.urine.D	PowerSoil r1	human.urine.D	PowerSoil r1	urine	human female urine	low
12201.uriF.D.2.pro.L	12201.uriF.D.3.pro.L	0.3849711735020517	human.urine.D	PowerSoil Pro	human.urine.D	PowerSoil Pro	urine	human female urine	low
12201.uriF.D.2.standard.L	12201.uriF.D.3.standard.L	0.17003782905329307	human.urine.D	PowerSoil r1	human.urine.D	PowerSoil r1	urine	human female urine	low
12201.uriF.E.1.pro.L	12201.uriF.E.2.pro.L	0.7668032900980783	human.urine.E	PowerSoil Pro	human.urine.E	PowerSoil Pro	urine	human female urine	low
12201.uriF.E.1.pro.L	12201.uriF.E.3.pro.L	1.0198941333472644	human.urine.E	PowerSoil Pro	human.urine.E	PowerSoil Pro	urine	human female urine	low
12201.uriF.E.2.pro.L	12201.uriF.E.3.pro.L	1.1087311984465897	human.urine.E	PowerSoil Pro	human.urine.E	PowerSoil Pro	urine	human female urine	low
