sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.s.lf.B.1.pro.L	12201.s.lf.B.3.pro.L	0.75	human.foot.B	PowerSoil Pro	human.foot.B	PowerSoil Pro	skin	human foot	low
12201.be.f.A.1.pro.L	12201.be.f.A.2.pro.L	0.806060606060606	floor_site_1	PowerSoil Pro	floor_site_1	PowerSoil Pro	built environment	floor	low
12201.wat.F.B.2.pro.L	12201.wat.F.B.1.pro.L	0.8829787234042553	freshwater site 2	PowerSoil Pro	freshwater site 2	PowerSoil Pro	water	freshwater	low
12201.be.k.A.1.3.pro.L	12201.be.k.A.1.1.pro.L	0.8670886075949367	keyboard_A1	PowerSoil Pro	keyboard_A1	PowerSoil Pro	built environment	keyboard	low
12201.uriF.E.1.pro.L	12201.uriF.E.3.pro.L	0.875	human.urine.E	PowerSoil Pro	human.urine.E	PowerSoil Pro	urine	human female urine	low
12201.wat.F.A.1.pro.L	12201.wat.F.A.3.pro.L	0.8395061728395061	freshwater site 1	PowerSoil Pro	freshwater site 1	PowerSoil Pro	water	freshwater	low
12201.be.k.A.1.2.pro.L	12201.be.k.A.1.1.pro.L	0.84472049689441	keyboard_A1	PowerSoil Pro	keyboard_A1	PowerSoil Pro	built environment	keyboard	low
12201.be.f.B.1.pro.L	12201.be.f.B.3.pro.L	0.7987804878048781	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.wat.F.B.1.pro.L	12201.wat.F.B.3.pro.L	0.845360824742268	freshwater site 2	PowerSoil Pro	freshwater site 2	PowerSoil Pro	water	freshwater	low
12201.urine.male.B.3.microbiome.L	12201.urine.male.B.1.microbiome.L	0.5	human.urine.B	MagMAX Microbiome	human.urine.B	MagMAX Microbiome	urine	human male urine	low
12201.human.milk.Z.2.microbiome.L	12201.human.milk.Z.1.microbiome.L	0.8780487804878049	human.milk.Z	MagMAX Microbiome	human.milk.Z	MagMAX Microbiome	milk	human milk	low
12201.built.keyboard.A.2.1.microbiome.L	12201.built.keyboard.A.2.3.microbiome.L	0.8513513513513513	keyboard_M	MagMAX Microbiome	keyboard_M	MagMAX Microbiome	built environment	keyboard	low
12201.built.keyboard.A.2.1.microbiome.L	12201.built.keyboard.A.2.2.microbiome.L	0.746268656716418	keyboard_M	MagMAX Microbiome	keyboard_M	MagMAX Microbiome	built environment	keyboard	low
12201.built.floor.A.2.microbiome.L	12201.built.floor.A.1.microbiome.L	0.8421052631578947	floor_site_1	MagMAX Microbiome	floor_site_1	MagMAX Microbiome	built environment	floor	low
12201.built.floor.A.2.microbiome.L	12201.built.floor.A.3.microbiome.L	0.8720379146919431	floor_site_1	MagMAX Microbiome	floor_site_1	MagMAX Microbiome	built environment	floor	low
12201.water.fresh.B.3.microbiome.L	12201.water.fresh.B.2.microbiome.L	0.8461538461538461	freshwater site 2	MagMAX Microbiome	freshwater site 2	MagMAX Microbiome	water	freshwater	low
12201.water.fresh.B.3.microbiome.L	12201.water.fresh.B.1.microbiome.L	0.8947368421052632	freshwater site 2	MagMAX Microbiome	freshwater site 2	MagMAX Microbiome	water	freshwater	low
12201.built.floor.B.1.microbiome.L	12201.built.floor.B.3.microbiome.L	0.8393782383419689	floor_site_2	MagMAX Microbiome	floor_site_2	MagMAX Microbiome	built environment	floor	low
12201.built.floor.B.1.microbiome.L	12201.built.floor.B.2.microbiome.L	0.8402061855670103	floor_site_2	MagMAX Microbiome	floor_site_2	MagMAX Microbiome	built environment	floor	low
12201.skin.armpit.C.1.microbiome.L	12201.skin.armpit.C.2.microbiome.L	0.95	human.armpit.K	MagMAX Microbiome	human.armpit.K	MagMAX Microbiome	skin	human armpit	low
12201.skin.armpit.C.1.microbiome.L	12201.skin.armpit.C.3.microbiome.L	0.9523809523809523	human.armpit.K	MagMAX Microbiome	human.armpit.K	MagMAX Microbiome	skin	human armpit	low
